í≤ç∏îÕàÕ,óßñÿî‘çÜ,ãπçÇíºåa[cm],2cmäáñÒãπçÇíºåa[cm],é˜çÇ[m],ñÓçÇ[cm],çﬁêœ[m3],2cmäáñÒçﬁêœ[m3],ÉoÉCÉIÉ}ÉX[kg],ÉoÉCÉIÉ}ÉXÅi2cmäáñÒÅj[kg],é˜éÌ,ÉXÉeÅ[É^ÉX,ä‘î∞,Éå,ã´äEñÿ,èúäO,ÉtÉBÉãÉ^,ÉRÉÅÉìÉg,ä≤é¸[cm],X,Y,Z,ID,åoìxÅiê¢äEë™ínånÅj,à‹ìxÅiê¢äEë™ínånÅj,ïΩX[m]Åiê¢äEë™ínånÅj,ïΩY[m]Åiê¢äEë™ínånÅj,åoìxÅiì˙ñ{ë™ínånÅj,à‹ìxÅiì˙ñ{ë™ínånÅj,ïΩX[m]Åiì˙ñ{ë™ínånÅj,ïΩY[m]Åiì˙ñ{ë™ínånÅj,é˜ä•îºåa[m],ä‘î∞óvî€
Åõ,10,25.4,26,20.6,0.8,0.5051,0.5274,243.88,254.64,ÉXÉM,ê∂óßñÿ,,,,,,,79.7,-5.38,-2.43,-4.7,50,139.1353258,35.72901642,-29839.772,-63143.723,139.6257311,35.2563251,-30194.809,-62852.939,4.1,-
Åõ,11,26.6,26,20.6,1.5,0.5501,0.5274,265.62,254.64,ÉXÉM,ê∂óßñÿ,,,,,,,83.5,-5.52,-11.42,-4.71,61,139.135311,35.72893633,-29848.648,-63145.123,139.6257312,35.2563252,-30203.685,-62854.338,4.2,-
Åõ,12,32.8,32,22.3,1.4,0.8745,0.8335,422.21,402.42,ÉXÉM,ê∂óßñÿ,,,,,,,103,-7.32,-12.66,-5.63,60,139.1352894,35.72892741,-29849.623,-63147.084,139.6257313,35.2563253,-30204.661,-62856.3,4.8,-
Åõ,13,32.1,32,22.8,0.8,0.8554,0.8502,412.98,410.48,ÉXÉM,ê∂óßñÿ,,,,,,,100.8,-11.69,-20.04,-7.2,116,139.1352307,35.72886668,-29856.323,-63152.443,139.6257314,35.2563254,-30211.361,-62861.658,4.7,-
Åõ,14,54.3,54,21.6,1.3,1.948,1.9308,940.46,932.16,ÉXÉM,ê∂óßñÿ,,,,,,,170.5,-11.05,-18.35,-7.05,59,139.1352403,35.72888107,-29854.732,-63151.567,139.6257315,35.2563255,-30209.771,-62860.783,6.5,-
Åõ,15,19.9,20,22.6,0.3,0.3531,0.3564,170.51,172.1,ÉXÉM,ê∂óßñÿ,,,,,,,62.5,-11.92,-16.82,-8.17,98,139.135233,35.72889575,-29853.099,-63152.214,139.6257316,35.2563256,-30208.137,-62861.43,3.5,-
Åõ,16,47.5,48,27,1,1.9991,2.0328,965.11,981.42,ÉXÉM,ê∂óßñÿ,,,,,,,149.2,-12.33,-12.2,-8.77,55,139.1352353,35.72893752,-29848.467,-63151.972,139.6257317,35.2563257,-30203.505,-62861.187,6,-
Åõ,17,31.7,32,24.2,0.7,0.8805,0.8968,425.11,432.96,ÉXÉM,ê∂óßñÿ,,,,,,,99.5,-10.57,-10.69,-7.86,56,139.1352568,35.72894891,-29847.217,-63150.016,139.6257318,35.2563258,-30202.255,-62859.231,4.7,-
Åõ,18,37.7,38,25.4,1.6,1.288,1.308,621.83,631.48,ÉXÉM,ê∂óßñÿ,,,,,,,118.4,-11.79,-6.68,-8.75,51,139.1352493,35.72898619,-29843.076,-63150.67,139.6257319,35.2563259,-30198.114,-62859.886,5.2,-
Åõ,19,44.3,44,23.4,1.3,1.5329,1.5164,740.08,732.08,ÉXÉM,ê∂óßñÿ,,,,,,,139.1,-10.05,-4.84,-7.41,95,139.1352711,35.72900057,-29841.495,-63148.688,139.625732,35.256326,-30196.533,-62857.903,5.8,-
Åõ,20,39.6,40,24.8,0.1,1.3872,1.4146,669.72,682.94,ÉXÉM,ê∂óßñÿ,,,,,,,124.4,-12.42,-0.74,-8.07,43,139.1352512,35.72904003,-29837.104,-63150.454,139.6257321,35.2563261,-30192.142,-62859.67,5.4,-
Åõ,21,21,22,21.7,1.5,0.3744,0.4081,180.79,197.03,ÉXÉM,ê∂óßñÿ,,,,,,,65.9,-13.36,-8.78,-9.77,52,139.135229,35.72896929,-29844.938,-63152.518,139.6257322,35.2563262,-30199.976,-62861.734,3.7,-
Åõ,22,44.2,44,20.4,0.6,1.3179,1.3083,636.26,631.66,ÉXÉM,ê∂óßñÿ,,,,,,,138.8,-15.43,-19.48,-9.87,57,139.1351906,35.72887619,-29855.242,-63156.068,139.6257323,35.2563263,-30210.28,-62865.284,5.7,-
Åõ,23,33.5,34,25.1,1.5,1.0129,1.0425,489.01,503.3,ÉXÉM,ê∂óßñÿ,,,,,,,105.2,-16.03,-14.3,-11.01,54,139.1351917,35.72892321,-29850.027,-63155.928,139.6257324,35.2563264,-30205.064,-62865.144,4.9,-
Åõ,24,23,24,16.3,1.4,0.332,0.3592,160.31,173.44,ÉXÉM,ê∂óßñÿ,,,,,,,72.2,-13.32,-4.96,-9.46,49,139.1352351,35.72900341,-29841.156,-63151.938,139.6257325,35.2563265,-30196.194,-62861.154,3.9,-
Åõ,25,28.8,28,24.9,0.5,0.7715,0.7323,372.46,353.55,ÉXÉM,ê∂óßñÿ,,,,,,,90.4,-15.51,-3.84,-10.48,48,139.1352127,35.72901606,-29839.738,-63153.95,139.6257326,35.2563266,-30194.777,-62863.166,4.4,-
Åõ,26,33.1,34,25.6,2.8,1.0071,1.061,486.23,512.27,ÉXÉM,ê∂óßñÿ,,,,,,,103.9,-13.87,-2.95,-9.38,46,139.1352321,35.72902196,-29839.097,-63152.198,139.6257327,35.2563267,-30194.134,-62861.414,4.8,-
Åõ,27,22.5,22,23.6,5.1,0.463,0.4441,223.53,214.43,ÉXÉM,ê∂óßñÿ,,,,,,,70.6,-15.82,-1.88,-10.48,44,139.1352122,35.72903388,-29837.761,-63153.984,139.6257328,35.2563268,-30192.799,-62863.2,3.8,-
Åõ,31,20.6,20,12.6,6.2,0.2089,0.1978,100.86,95.49,ÉXÉM,ê∂óßñÿ,,,,,,,64.7,-18.88,-2.06,-12.25,165,139.1351785,35.72903599,-29837.505,-63157.034,139.6257329,35.2563269,-30192.543,-62866.25,3.6,-
Åõ,32,27.8,28,21.2,2.8,0.6145,0.6227,296.66,300.62,ÉXÉM,ê∂óßñÿ,,,,,,,87.3,-18.17,-4.12,-12.24,47,139.1351832,35.72901667,-29839.652,-63156.622,139.625733,35.256327,-30194.69,-62865.838,4.3,-
Åõ,33,30.5,30,23.2,2,0.7988,0.7747,385.64,374.03,ÉXÉM,ê∂óßñÿ,,,,,,,95.8,-19.55,-4.52,-13.17,111,139.1351675,35.72901483,-29839.845,-63158.045,139.6257331,35.2563271,-30194.884,-62867.26,4.6,-
Åõ,34,22.2,22,19.2,0.6,0.3668,0.3607,177.1,174.16,ÉXÉM,ê∂óßñÿ,,,,,,,69.7,-18.82,-8.27,-13.32,142,139.1351699,35.7289804,-29843.667,-63157.855,139.6257332,35.2563272,-30198.705,-62867.07,3.8,-
Åõ,35,20.4,20,21.7,1.4,0.3549,0.3421,171.35,165.19,ÉXÉM,ê∂óßñÿ,,,,,,,64,-17.22,-10.06,-12.16,112,139.1351848,35.72896248,-29845.665,-63156.517,139.6257333,35.2563273,-30200.703,-62865.733,3.6,-
Åõ,36,21.4,22,20.6,1.1,0.3679,0.3872,177.64,186.96,ÉXÉM,ê∂óßñÿ,,,,,,,67.2,-18.97,-11.81,-13.35,113,139.1351631,35.72894897,-29847.15,-63158.493,139.6257334,35.2563274,-30202.188,-62867.709,3.7,-
Åõ,37,48.3,48,22.9,2.4,1.7337,1.714,1876.86,1855.53,çLóté˜,ê∂óßñÿ,,,,,,,151.7,-19.28,-13.38,-13.1,53,139.1351574,35.7289353,-29848.663,-63159.02,139.6257335,35.2563275,-30203.701,-62868.236,-,-
Åõ,38,36.6,36,22.9,3.5,1.1083,1.0732,535.06,518.14,ÉXÉM,ê∂óßñÿ,,,,,,,114.9,-19.77,-20.05,-12.72,97,139.1351422,35.72887632,-29855.196,-63160.446,139.6257336,35.2563276,-30210.235,-62869.661,5.1,-
Åõ,39,52.9,52,25.7,1.8,2.2522,2.1912,1087.31,1057.87,ÉXÉM,ê∂óßñÿ,,,,,,,166.1,-22.48,-19.6,-14.65,96,139.1351131,35.72888364,-29854.365,-63163.066,139.6257337,35.2563277,-30209.404,-62872.283,6.4,-
Åõ,40,38.7,38,27.9,0.8,1.474,1.4226,711.63,686.82,ÉXÉM,ê∂óßñÿ,,,,,,,121.5,-22.58,-3.68,-14.32,45,139.1351355,35.72902597,-29838.59,-63160.931,139.6257338,35.2563278,-30193.627,-62870.147,5.3,-
Åõ,41,29.4,30,26.4,1.9,0.8501,0.8825,410.44,426.06,ÉXÉM,ê∂óßñÿ,,,,,,,92.3,-23.21,-1.54,-14.23,94,139.1351318,35.72904577,-29836.39,-63161.253,139.6257339,35.2563279,-30191.428,-62870.469,4.5,-
Åõ,-1,44.4,44,16.2,0.8,1.0382,1.0211,501.23,492.97,ÉXÉM,ê∂óßñÿ,,,,,,,139.4,-24.62,-12.88,-16.26,114,139.1350996,35.72894618,-29847.419,-63164.238,139.625734,35.256328,-30202.457,-62873.454,5.8,-
,1,14,14,14.1,5.3,0.1145,0.1145,55.3,55.3,ÉXÉM,ê∂óßñÿ,,,,,,,43.9,-1.67,2.55,-1.59,25,139.1353738,35.72905645,-29835.361,-63139.353,139.6257341,35.2563281,-30190.399,-62848.568,2.9,-
,2,25.5,26,23.5,2,0.5811,0.6023,280.54,290.8,ÉXÉM,ê∂óßñÿ,,,,,,,80.1,-1.93,-8,-2.88,64,139.1353554,35.72896253,-29845.769,-63141.09,139.6257342,35.2563282,-30200.807,-62850.305,4.1,-
,3,25.5,26,20.3,1.8,0.5013,0.5197,242.05,250.9,ÉXÉM,ê∂óßñÿ,,,,,,,80.1,-2.98,-13.11,-2.9,110,139.1353363,35.72891815,-29850.681,-63142.849,139.6257343,35.2563283,-30205.719,-62852.065,4.1,-
,4,15.9,16,12.9,2,0.1325,0.134,63.97,64.72,ÉXÉM,ê∂óßñÿ,,,,,,,49.9,-2.36,-15.32,-2.18,67,139.1353398,35.72889765,-29852.957,-63142.546,139.6257344,35.2563284,-30207.995,-62851.762,3.1,-
,5,44.1,44,15.8,3.7,0.9758,0.9718,1056.45,1052.06,çLóté˜,ê∂óßñÿ,,,,,,,138.5,-3.08,-20.3,-1.02,101,139.1353247,35.72885402,-29857.788,-63143.95,139.6257345,35.2563285,-30212.826,-62853.165,-,-
,6,49.5,50,24.7,1.2,1.9405,1.9719,936.82,952.01,ÉXÉM,ê∂óßñÿ,,,,,,,155.5,-4.76,-6.33,-4.33,58,139.1353268,35.72898088,-29843.715,-63143.656,139.6257346,35.2563286,-30198.753,-62852.872,6.2,-
,7,21,22,17.4,2.5,0.2997,0.3266,144.7,157.7,ÉXÉM,ê∂óßñÿ,,,,,,,65.9,-5.89,2.69,-3.91,37,139.1353278,35.7290628,-29834.627,-63143.507,139.6257347,35.2563287,-30189.665,-62852.723,3.7,-
,8,39.5,40,24.8,3.8,1.3804,1.4146,666.44,682.94,ÉXÉM,ê∂óßñÿ,,,,,,,124,-4.66,1.3,-3.58,39,139.1353391,35.72904891,-29836.175,-63142.492,139.6257348,35.2563288,-30191.213,-62851.708,5.4,-
,9,36.3,36,25.9,1.5,1.2177,1.1982,587.88,578.48,ÉXÉM,ê∂óßñÿ,,,,,,,114,-6.81,0.87,-4.78,41,139.1353149,35.72904763,-29836.301,-63144.68,139.6257349,35.2563289,-30191.34,-62853.895,5.1,-
,28,33.8,34,25,1.4,1.0269,1.0388,495.79,501.51,ÉXÉM,ê∂óßñÿ,,,,,,,106.1,-13.66,0.65,-8.38,42,139.1352397,35.72905392,-29835.555,-63151.486,139.625735,35.256329,-30190.593,-62860.702,4.9,-
,29,18.8,18,18.6,1.8,0.2612,0.241,126.12,116.38,ÉXÉM,ê∂óßñÿ,,,,,,,59,-15.53,3.74,-8.27,40,139.1352237,35.72908378,-29832.233,-63152.907,139.6257351,35.2563291,-30187.27,-62862.123,3.4,-
,30,16.4,16,21.6,3.8,0.2359,0.2254,113.91,108.83,ÉXÉM,ê∂óßñÿ,,,,,,,51.5,-19.42,1.14,-11.32,138,139.1351773,35.72906518,-29834.266,-63157.12,139.6257352,35.2563292,-30189.304,-62866.336,3.1,-
,42,42.1,42,24.9,0.8,1.5106,1.5048,729.29,726.52,ÉXÉM,ê∂óßñÿ,,,,,,,132.2,-22.77,1.06,-13,93,139.1351404,35.72906852,-29833.872,-63160.454,139.6257353,35.2563293,-30188.91,-62869.67,5.6,-
,43,41.6,42,22.6,1.3,1.2993,1.3223,1406.59,1431.5,çLóté˜,ê∂óßñÿ,,,,,,,130.6,-20.59,2.9,-11,139,139.135167,35.72908229,-29832.361,-63158.037,139.6257354,35.2563294,-30187.399,-62867.252,-,-
,-1,34.4,34,19.3,3.4,0.8439,0.824,407.43,397.85,ÉXÉM,ê∂óßñÿ,,,,,,,108,-17.84,9.34,-6.64,36,139.1352066,35.72913657,-29826.365,-63154.409,139.6257355,35.2563295,-30181.403,-62863.624,4.9,-
,-1,24.2,24,16.1,1,0.3603,0.3548,173.94,171.29,ÉXÉM,ê∂óßñÿ,,,,,,,76,-21.25,11.97,-6.84,35,139.1351731,35.72916418,-29823.28,-63157.416,139.6257356,35.2563296,-30178.318,-62866.631,4,-
,-1,18.1,18,14.9,2.4,0.196,0.1927,94.66,93.06,ÉXÉM,ê∂óßñÿ,,,,,,,56.8,-7.39,6.65,-3.03,32,139.1353171,35.7291,-29830.493,-63144.441,139.6257357,35.2563297,-30185.531,-62853.657,3.3,-
,-1,17.7,18,14.7,1,0.1849,0.1901,89.29,91.8,ÉXÉM,ê∂óßñÿ,,,,,,,55.6,-11.21,9.05,-3.82,33,139.1352789,35.72912603,-29827.58,-63147.882,139.6257358,35.2563298,-30182.618,-62857.098,3.3,-
,-1,57.1,58,24.4,2,2.4073,2.4679,1162.19,1191.44,ÉXÉM,ê∂óßñÿ,,,,,,,179.3,-9.13,4.1,-4.88,38,139.1352943,35.72907926,-29832.779,-63146.521,139.6257359,35.2563299,-30187.817,-62855.737,6.7,-
,-1,31.8,32,23,1.5,0.8473,0.8569,409.06,413.7,ÉXÉM,ê∂óßñÿ,,,,,,,99.9,-8.65,8.18,-2.87,31,139.1353056,35.72911516,-29828.804,-63145.468,139.625736,35.25633,-30183.842,-62854.684,4.7,-
,-1,19,20,13.7,5.5,0.1975,0.2152,95.38,103.9,ÉXÉM,ê∂óßñÿ,,,,,,,59.6,-6.19,-22.25,-2.74,65,139.1352878,35.72884036,-29859.28,-63147.303,139.6257361,35.2563301,-30214.318,-62856.519,3.4,-
,-1,43.8,44,17,1.1,1.0693,1.0754,516.25,519.2,ÉXÉM,ê∂óßñÿ,,,,,,,137.6,-4.6,-24.8,-0.41,66,139.1353013,35.72881565,-29862.03,-63146.093,139.6257362,35.2563302,-30217.068,-62855.309,5.7,-
,-1,13.7,14,11.5,6.1,0.0904,0.0932,43.67,45.03,ÉXÉM,ê∂óßñÿ,,,,,,,43,-11.41,13.59,-1.23,28,139.1352833,35.72916675,-29823.065,-63147.445,139.6257363,35.2563303,-30178.104,-62856.661,2.8,-
,-1,24.1,24,17.9,1.6,0.3983,0.3948,192.32,190.6,ÉXÉM,ê∂óßñÿ,,,,,,,75.7,-1.63,-13.58,-1.9,68,139.1353504,35.72891239,-29851.329,-63141.577,139.6257364,35.2563304,-30206.367,-62850.793,4,-
,-1,19.6,20,14,1.5,0.2138,0.2199,103.22,106.19,ÉXÉM,ê∂óßñÿ,,,,,,,61.5,-8.2,-22.92,-3.95,63,139.1352647,35.72883679,-29859.661,-63149.389,139.6257365,35.2563305,-30214.699,-62858.605,3.5,-
,-1,35.7,36,18.5,0.9,0.8761,0.8867,422.98,428.08,ÉXÉM,ê∂óßñÿ,,,,,,,112.1,-3.01,4.38,-1.58,26,139.1353617,35.72907442,-29833.359,-63140.426,139.6257366,35.2563306,-30188.398,-62849.641,5,-
,-1,34.1,34,19.1,0.9,0.8216,0.8164,396.65,394.16,ÉXÉM,ê∂óßñÿ,,,,,,,107.1,-0.71,-10.2,-1.81,69,139.1353656,35.72894147,-29848.113,-63140.185,139.6257367,35.2563307,-30203.15,-62849.401,4.9,-
